County,State,GEOID,INTPTLAT,INTPTLONG                                                                                                    ,Deaths_5_yrs,Pop_5_yrs,Pop_avg,Rate_5yr,Rate_1yr,alz_ageadj_rate,mental_distress,top10,Med_age,sixtyfiveandup,obesity_age_adj,Smoking_Rate,physical_inactivity,Diabetes,Heart_Disease,Cancer,Glyphosates,NATA_Cancer_11,Fine_PM_2_5,Mercury_TPY,Lead_TPY,Percent_Less_than_HS,Percent_with_Bachelors,Female_to_male,White_percent,white_non_hispanic,Native_American_only,Native_American_any,Percent_Hispanic_Latino,Pop_Dens,per_rural,Food_index,Households_2up,Household_3up,Household_4up,Poverty_Percent,Atrazine_High_KG,SUNLIGHT,NATA_resp_11,age_rate,black_per2,Female_per,Gly_sqkm,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18
Autauga County, AL,1001,32.536382,-86.64449,80,272764,54552.8,29.32938364,5.865876728,1.191747935,13,0,37,12.3,31.48,25.46,29.74,11.26,102.1,183.2877936,10.84522,56.435,12.662,0.006500653,0.073548323,14.4,20.9,1.057050268,78.9,76.9,0.3,1,2.4,35.44532876,42,7.2,80.5,42.1,23.9,11.6,537.8,17753.28,2.357,34.95323239,18.0985528,51.3867009,169.8512307,6.5,7.4,7.9,8.3,5.6,5.8,6,6.8,7.9,7.7,7.1,5.5,5.2,4.5,3.2,2.1,1.3,1.2
Baldwin County, AL,1003,30.659218,-87.746067,252,915005,183001,27.54083311,5.508166622,0.712663798,13,0,41.2,17,26.06,22.84,24.74,9.54,105,177.9175554,40.47304,39.017,12.378,0.002829061,1.009714381,10.9,27.7,1.052492439,86.4,83.6,0.6,1.4,4.3,44.26570574,42.28,7.6,79.1,35,20.1,13.3,3371.3,18381.89,1.289,19.62735472,9.2868916,51.2787486,855.0259574,6.1,6.4,6.5,6.2,5.3,5.7,5.8,6,6.9,7.3,7.3,6.7,6.8,5.7,4.2,3.1,2.2,1.8
Barbour County, AL,1005,31.87067,-85.405456,71,137242,27448.4,51.73343437,10.34668687,1.590696564,15,0,38.2,14.5,38.28,26.96,33.34,13.52,57.3,200.5097034,8.4501,48.169,12.075,0.000478391,0.0881968,26.3,13.4,0.862431351,49,46.8,0.1,1.3,5,11.98044016,67.79,5,75.9,35.2,20.4,26.1,229.4,17996.77,1.92,82.2921963,46.0337107,46.3067458,84.29382464,5.7,6.8,5.6,6,6.9,7.3,6.8,7.8,5.2,7.5,6.9,6.6,6.3,4.9,3.4,2.8,1.6,1.8
Bibb County, AL,1007,33.015893,-87.127148,25,113924,22784.8,21.9444542,4.38889084,0.851423527,14,0,39.4,12.8,35.58,29.66,35.02,11.4,156.5,211.0974014,0.26632,51.433,12.781,0.000282398,0.010666379,22.5,12.1,0.873375021,76.7,74.9,0.4,0.6,1.8,14.21102202,68.35,7.6,81.4,36.3,20.3,16.5,24.2,17542.84,1.944,18.68402459,21.753261,46.6204049,1.093700497,5.8,7.3,6.2,6.4,6.2,5.9,6.7,6.7,7.7,9.2,7.1,5.4,6.5,3.8,3.6,2.3,2,1.1
Blount County, AL,1009,33.977448,-86.567246,65,287221,57444.2,22.63065723,4.526131446,0.679871229,14,0,39.1,14.9,31.5,28.04,31.94,11.74,116.7,177.9253746,5.27118,45.279,12.266,0.001193154,0.038182984,23,12.1,1.017129418,94.9,88.8,0.4,1.2,8.1,34.32533493,89.95,8.5,79.3,40.9,22.8,14.7,126.9,16852.34,1.59,15.38593274,1.3120802,50.4245989,88.54206444,6.3,6.3,7.5,6.8,5.8,5.9,5.9,6.7,7.1,7.2,6.9,5.8,6.9,5.2,3.8,2.4,1.9,1.6
Bullock County, AL,1011,32.101759,-85.717261,51,53870,10774,94.67235938,18.93447188,1.865486954,16,1,40.7,13.8,41.24,27.36,32,16.02,122.7,168.6040343,3.15849,49.768,12.251,9.83E-05,0.009917343,32.2,12.5,0.797698466,28.1,22.3,0.2,0.9,5.8,6.766035325,51.37,3.8,69.7,38.6,26.4,22.2,248.5,17964.12,2.041,176.6100513,70.5909639,44.3733185,22.96824593,6.2,5.2,6.8,5.4,6.2,5.1,7,7.5,10,6.3,7.6,5.4,7.5,4.1,3.2,2.5,1.6,2.4
Butler County, AL,1013,31.751667,-86.681969,58,103720,20744,55.91978403,11.18395681,1.194524996,16,0,40.3,16.7,38.48,28.34,35.2,14.02,99.9,189.4417436,2.22379,49.854,12.29,0.000653417,0.01943596,23.7,14,1.128773876,54.9,54,0.2,0.5,1,10.41115336,71.23,6,70.9,34.6,18.2,25.7,947.8,18067.84,1.946,66.7975798,43.2272069,53.024602,15.51476079,6.2,6.8,7.1,6.2,5.8,6,6,5.6,5.8,6.8,7.5,7.1,6.6,5.2,3.5,3.5,2.8,1.7
Calhoun County, AL,1015,33.771706,-85.822513,223,589302,117860.4,37.84137844,7.568275688,0.971702454,15,0,38.7,14.6,32.84,27.94,32.58,12.78,162.5,196.1908149,6.5098,49.642,12.47,0.00652699,2.164499574,21.4,16.1,1.078714321,75,73.6,0.3,1,3.3,75.56255162,33.7,6.4,74.5,34.9,18.5,21.4,143.1,16913.12,2.056,36.7705603,20.7249181,51.8933415,74.85156149,6.1,6.7,6.2,7,7.6,6.6,5.9,5.5,7,6.9,7.3,7.1,5.7,4.3,3.8,2.8,2.1,1.6
Chambers County, AL,1017,32.917943,-85.391812,177,171165,34233,103.4089913,20.68179826,2.160215578,16,1,41.4,16.9,37.42,28.82,35.18,13.76,108.3,220.4997245,0.42396,47.387,12.511,0.001108156,0.020165363,24.9,11.8,1.108674224,58.9,58,0,0.7,1.6,22.14549802,49.15,5.7,73.2,32.6,15.5,23.3,47.5,17528.88,1.898,223.385714,39.1755288,52.5768377,2.465264568,6,6.3,6.4,6.5,5.8,5.5,5.7,6.4,6.3,6.9,7.6,7,6.8,5.1,4.1,3.4,2.2,2.1
Cherokee County, AL,1019,34.069515,-85.654242,137,129557,25911.4,105.7449617,21.14899234,2.231370955,14,1,44.3,18.1,31.66,26.4,32.06,11.62,124.2,184.9233893,36.2602,43.5,12.487,0.00083852,0.012855251,21.7,12.8,1.033024788,92.9,92,0.6,1.2,1.3,18.1224711,85.74,7.9,78.2,38.6,17.4,19.5,343.4,16770.32,1.585,235.9562361,4.8346645,50.8122082,1231.416131,5.5,5.3,6.1,6,5.7,4.8,5.4,4.5,7.8,7.3,8.1,8.9,6.5,6.3,5.1,3.3,1.9,1.5
